,Unnamed: 0,policy_rk,total_premium_amt,coverage,repair_option,paid_flg,region,auto_make,auto_model,auto_cost,vehicle_mileage_km_amt,vehicle_new_flg,audatex_claim_cnt,audatex_total_cost_amt,vehicle_issue_year,vehicle_credit_flg,min_driver_experience_years_cnt,insurant_gender_cd,age,issue_flg,expected_loss_amt,transition_flg,premium_transition_amt,renewed_issue_flg,renewed_paid_flg,unique
139,155,284421054,450180.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Skoda,Skoda Karoq,1900000.0,7000.0,0.0,1.0,656964.0,2020,0,11,M,39.0,1,353842.56,0.0,0.0,0,0,284421054M39.0
142,158,284421387,774792.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Пензенская область,BMW,BMW 5er,4000000.0,400.0,0.0,1.0,624348.0,2019,0,15,M,35.0,1,565278.66,1.0,1098000.0,1,0,284421387M35.0
144,160,284421807,76095.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,ВАЗ,ВАЗ xRay,718000.0,9300.0,0.0,0.0,0.0,2020,1,18,M,38.0,1,29897.46,0.0,0.0,1,0,284421807M38.0
147,164,284422383,238545.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Haval,Haval F7X,2005000.0,0.0,1.0,0.0,0.0,2021,0,0,M,52.0,1,127224.9,0.0,0.0,0,0,284422383M52.0
151,170,284424663,255600.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Lada,Lada Largus,675000.0,56675.0,0.0,0.0,0.0,2019,0,14,F,39.0,1,174215.61,0.0,0.0,0,0,284424663F39.0
152,171,284424726,440100.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Воронежская область,Kia,Kia Sorento,2175000.0,15000.0,0.0,0.0,0.0,2019,0,36,F,59.0,1,374770.89,0.0,0.0,1,1,284424726F59.0
154,173,284425389,110700.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Курская область,Mitsubishi,Mitsubishi Outlander,1764337.0,40.0,0.0,0.0,0.0,2019,1,21,M,44.0,1,60930.36,0.0,0.0,1,1,284425389M44.0
155,174,284425677,196992.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Toyota,Toyota Camry,2169051.0,15000.0,0.0,0.0,0.0,2020,0,27,M,48.0,1,137524.95,1.0,909000.0,1,0,284425677M48.0
157,177,284426916,22950.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Renault,Renault Logan,510000.0,30000.0,0.0,4.0,2737872.0,2016,0,13,M,42.0,1,119744.73,0.0,0.0,1,1,284426916M42.0
159,179,284427468,37363.5,Только Угон,Отсутствует/неизвестно,1,Санкт-Петербург,Volkswagen,Volkswagen Tiguan,1000000.0,20000.0,0.0,0.0,0.0,2016,0,12,F,34.0,1,0.0,0.0,0.0,1,1,284427468F34.0
161,181,284428464,439920.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Республика Татарстан,Kia,Kia Rio,918878.0,19800.0,0.0,0.0,0.0,2019,0,14,F,45.0,1,197672.67,1.0,419058.0,1,0,284428464F45.0
162,182,284428632,1054620.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,BMW,BMW 3er,3230000.0,31300.0,0.0,0.0,0.0,2019,0,10,F,33.0,1,622849.86,0.0,0.0,0,0,284428632F33.0
164,185,284429292,176670.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Белгородская область,Infiniti,Infiniti QX70,2000000.0,30000.0,0.0,1.0,603675.0,2015,0,18,M,37.0,1,125415.09,0.0,0.0,0,0,284429292M37.0
167,188,284429928,1046700.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mazda,Mazda CX-5,2340000.0,30000.0,0.0,3.0,2117880.0,2018,0,22,M,43.0,1,443232.36,0.0,0.0,1,0,284429928M43.0
169,190,284430435,272340.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Мурманская область,Mitsubishi,Mitsubishi Pajero Sport,4360000.0,0.0,1.0,0.0,0.0,2021,0,9,M,36.0,1,85859.46,0.0,0.0,1,1,284430435M36.0
170,191,284430573,176268.87,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Московская область,Hyundai,Hyundai Solaris,820000.0,20000.0,0.0,0.0,0.0,2019,1,18,M,43.0,1,0.0,0.0,383692.05,0,0,284430573M43.0
172,193,284430753,273600.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Ceed,1664900.0,0.0,1.0,0.0,0.0,2021,0,3,F,54.0,1,170712.63,0.0,0.0,0,0,284430753F54.0
174,195,284430933,684720.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,BMW,BMW X4,3500000.0,10000.0,0.0,0.0,0.0,2019,0,18,M,43.0,1,467768.43,1.0,876015.0,1,1,284430933M43.0
176,197,284431338,209208.42,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Volkswagen,Volkswagen Passat,2000000.0,10000.0,0.0,0.0,0.0,2017,0,26,M,48.0,1,0.0,0.0,0.0,1,1,284431338M48.0
177,198,284431560,297373.05,Полное КАСКО,Ремонт на СТОА официального дилера,1,Республика Карелия,Kia,Kia Sportage,2000000.0,12000.0,0.0,0.0,0.0,2019,1,17,F,38.0,1,0.0,0.0,0.0,1,1,284431560F38.0
182,203,284432457,138960.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Республика Татарстан,Kia,Kia Seltos,1654900.0,19500.0,0.0,0.0,0.0,2020,1,8,F,27.0,1,47681.64,1.0,688077.0,0,0,284432457F27.0
188,211,284434953,1018017.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Тверская область,BMW,BMW X5,6000000.0,88.0,0.0,1.0,1090566.0,2018,0,21,M,41.0,1,749264.58,0.0,1564362.0,0,0,284434953M41.0
189,212,284434980,169200.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Cerato,1412000.0,9000.0,0.0,0.0,0.0,2020,1,13,M,33.0,1,96788.07,0.0,612000.0,0,0,284434980M33.0
190,213,284435157,779400.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Rio,1469800.0,0.0,1.0,0.0,0.0,2021,1,2,M,27.0,1,285979.86,0.0,0.0,0,0,284435157M27.0
194,218,284436816,170100.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Московская область,Haval,Haval F7,1950000.0,0.0,1.0,0.0,0.0,2021,1,5,M,44.0,1,38400.39,0.0,0.0,0,0,284436816M44.0
197,222,284438046,385200.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Воронежская область,Volkswagen,Volkswagen Polo,849000.0,95000.0,0.0,0.0,0.0,2018,1,26,M,46.0,1,186674.94,0.0,0.0,0,0,284438046M46.0
200,225,284438229,304425.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Chery,Chery Tiggo 8 Pro,2349900.0,0.0,1.0,0.0,0.0,2021,0,18,M,39.0,1,345162.51,0.0,0.0,0,0,284438229M39.0
209,236,284440770,46191.69,Только Угон,Отсутствует/неизвестно,1,Республика Адыгея,Renault,Renault Kaptur,790000.0,30000.0,0.0,0.0,0.0,2018,0,13,F,46.0,1,0.0,0.0,0.0,1,1,284440770F46.0
210,237,284440872,678600.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Московская область,Hyundai,Hyundai Solaris,1167728.0,0.0,1.0,0.0,0.0,2021,1,0,M,41.0,1,362441.25,0.0,0.0,0,0,284440872M41.0
211,238,284440920,378000.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Skoda,Skoda Rapid,828100.0,39852.0,0.0,2.0,2719044.0,2019,1,26,F,54.0,1,242539.74,0.0,0.0,0,0,284440920F54.0
213,240,284441166,209520.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Владимирская область,Hyundai,Hyundai Creta,1285957.0,15000.0,0.0,0.0,0.0,2021,1,9,M,29.0,1,177417.81,1.0,821808.0,1,1,284441166M29.0
216,243,284441943,1090638.09,Полное КАСКО,Ремонт на СТОА официального дилера,1,Костромская область,Audi,Audi Q7,3400000.0,1.0,0.0,0.0,0.0,2020,1,13,M,57.0,1,0.0,0.0,0.0,1,0,284441943M57.0
220,247,284442915,98213.13,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Краснодарский край,Kia,Kia Sportage,1250622.18,5000.0,0.0,0.0,0.0,2019,1,19,F,45.0,1,0.0,0.0,597483.0,0,0,284442915F45.0
221,248,284443197,538200.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Citroen,Citroen SpaceTourer,2978000.0,0.0,1.0,0.0,0.0,2021,0,17,M,41.0,1,372648.78,0.0,0.0,0,0,284443197M41.0
224,251,284444304,747900.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Kia,Kia Optima,1975000.0,13416.0,0.0,0.0,0.0,2019,1,6,M,30.0,1,461702.43,0.0,0.0,0,0,284444304M30.0
227,254,284446179,229490.46,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Kia,Kia Rio,619650.0,40000.0,0.0,0.0,0.0,2018,0,11,F,39.0,1,0.0,0.0,0.0,1,1,284446179F39.0
231,261,284447544,265335.03,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Skoda,Skoda Octavia,1100000.0,50000.0,0.0,0.0,0.0,2013,0,4,M,28.0,1,0.0,0.0,0.0,1,1,284447544M28.0
232,265,284448075,276300.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Республика Коми,Kia,Kia Sportage,1803000.0,59000.0,0.0,0.0,0.0,2018,0,5,F,40.0,1,71414.91,0.0,0.0,0,0,284448075F40.0
233,266,284448594,45000.0,Только Угон,Отсутствует/неизвестно,1,Калужская область,Chevrolet,Chevrolet Niva,588000.0,76910.0,0.0,1.0,1483011.0,2017,1,0,M,53.0,1,6084.18,0.0,0.0,0,0,284448594M53.0
235,268,284448942,494530.38,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Toyota,Toyota Camry,2000000.0,1500.0,0.0,0.0,0.0,2020,0,12,M,41.0,1,0.0,0.0,0.0,1,1,284448942M41.0
236,270,284449551,452700.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Haval,Haval F7X,2100000.0,0.0,1.0,0.0,0.0,2021,1,25,F,56.0,1,276545.7,0.0,0.0,0,0,284449551F56.0
239,273,284450901,128089.71,Тоталь + Угон,Ремонт на СТОА по направлению страховщика,1,Республика Карелия,Honda,Honda CR-V,1400000.0,10000.0,0.0,0.0,0.0,2013,0,15,F,34.0,1,0.0,0.0,0.0,1,1,284450901F34.0
241,275,284452113,79600.5,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Ставропольский край,Renault,Renault Sandero,526500.0,47200.0,0.0,0.0,0.0,2018,1,21,M,39.0,1,0.0,0.0,0.0,0,0,284452113M39.0
244,278,284453961,135090.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Hyundai,Hyundai Creta,1300000.0,35000.0,0.0,0.0,0.0,2020,0,9,F,31.0,1,61481.79,0.0,0.0,1,1,284453961F31.0
247,281,284454654,40950.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Toyota,Toyota Camry,2800000.0,30.0,1.0,0.0,0.0,2021,0,19,M,37.0,1,359705.34,0.0,0.0,1,0,284454654M37.0
256,291,284455269,257040.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Audi,Audi A4,3000000.0,21000.0,0.0,0.0,0.0,2020,0,11,F,34.0,1,78679.17,0.0,0.0,1,1,284455269F34.0
259,295,284457000,482904.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Skoda,Skoda Kodiaq,2590000.0,25000.0,0.0,0.0,0.0,2020,0,11,M,39.0,1,378301.77,1.0,640701.0,1,1,284457000M39.0
260,296,284457069,315900.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Chery,Chery Tiggo 7 Pro,2049900.0,0.0,1.0,0.0,0.0,2021,1,38,M,56.0,1,70781.22,0.0,0.0,1,0,284457069M56.0
263,299,284457498,567000.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Пензенская область,Mercedes-Benz,Mercedes-Benz C-class,3000000.0,21000.0,0.0,0.0,0.0,2018,0,16,M,36.0,1,460925.73,0.0,0.0,1,1,284457498M36.0
269,305,284506818,125206.29,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Mazda,Mazda CX-5,1039906.0,25300.0,0.0,0.0,0.0,2016,0,26,F,50.0,1,0.0,0.0,0.0,0,0,284506818F50.0
270,306,284520675,489132.81,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia K5,2000000.0,87.0,0.0,0.0,0.0,2020,1,9,M,30.0,1,0.0,0.0,0.0,1,0,284520675M30.0
272,308,284561403,403091.46,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Mercedes-Benz,Mercedes-Benz GL-class,2000000.0,45955.0,0.0,0.0,0.0,2013,1,18,M,40.0,1,0.0,0.0,0.0,0,0,284561403M40.0
274,310,284583741,221400.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Ханты-Мансийский автономный округ,Kia,Kia Rio,1042933.0,5005.0,0.0,2.0,493542.0,2020,1,12,M,32.0,1,165157.2,0.0,597510.0,0,0,284583741M32.0
276,312,284605353,345293.73,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Ford,Ford Fiesta,470000.0,48200.0,0.0,0.0,0.0,2016,0,8,F,28.0,1,0.0,0.0,0.0,0,0,284605353F28.0
277,313,284631141,390870.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Chery,Chery Tiggo 7 Pro,1840000.0,0.0,1.0,0.0,0.0,2021,0,6,M,34.0,1,429026.31,0.0,0.0,1,0,284631141M34.0
279,315,284709528,232088.49,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Rio,1105000.0,1.0,0.0,0.0,0.0,2020,1,17,F,58.0,1,0.0,0.0,0.0,0,0,284709528F58.0
280,316,284719617,108771.84,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Kia,Kia Stinger,2400000.0,45799.0,0.0,0.0,0.0,2018,0,13,M,38.0,1,0.0,0.0,0.0,0,0,284719617M38.0
282,318,284766792,218874.33,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Rio,989825.0,1.0,0.0,0.0,0.0,2020,1,24,F,58.0,1,0.0,0.0,0.0,0,0,284766792F58.0
283,319,284807475,216720.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Kia,Kia Soul,800000.0,15000.0,0.0,0.0,0.0,2014,0,10,F,37.0,1,79031.79,1.0,217440.0,1,1,284807475F37.0
284,320,284808660,291971.61,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Volkswagen,Volkswagen Polo,850000.0,10000.0,0.0,0.0,0.0,2020,0,8,F,28.0,1,0.0,0.0,464130.0,0,0,284808660F28.0
